date,country,first_dose,cumulation,population,percentage
2021-09-19,Austria,80978.61532447505,12391707.017542597,9047452,1.3696350107790123
2021-09-20,Austria,80760.12775668714,12472467.145299284,9047452,1.3785612949700405
2021-09-21,Austria,82915.45434364672,12555382.59964293,9047452,1.387725803866429
2021-09-22,Austria,83583.96677585883,12638966.56641879,9047452,1.3969642023432443
2021-09-23,Austria,83800.7933628184,12722767.359781608,9047452,1.4062265663063598
2021-09-24,Austria,83115.3057950305,12805882.665576639,9047452,1.4154131644552121
2021-09-25,Austria,82799.63238199007,12888682.29795863,9047452,1.424564871740533
2021-09-26,Austria,82346.64481420218,12971028.942772832,9047452,1.433666511054475
2021-09-27,Austria,82446.47140116175,13053475.414173994,9047452,1.442779184037008
2021-09-28,Austria,84283.48383337384,13137758.898007369,9047452,1.4520948989845284
2021-09-29,Austria,85270.31042033342,13223029.208427703,9047452,1.4615196862528481
2021-09-30,Austria,85168.82285254553,13308198.03128025,9047452,1.4709332562670958
2021-10-01,Austria,84801.6494395051,13392999.680719754,9047452,1.4803062432074525
2021-10-02,Austria,84167.6618717172,13477167.34259147,9047452,1.4896091565439054
2021-10-03,Austria,84032.98845867677,13561200.331050146,9047452,1.4988971846493517
2021-10-04,Austria,83814.50089088888,13645014.831941035,9047452,1.5081610636830165
2021-10-05,Austria,85969.82747784845,13730984.659418883,9047452,1.5176631674220413
2021-10-06,Austria,86638.33991006055,13817622.999328943,9047452,1.527239160741493
2021-10-07,Austria,86855.16649702012,13904478.165825963,9047452,1.5368391195472453
2021-10-08,Austria,86169.67892923224,13990647.844755195,9047452,1.5463633125387342
2021-10-09,Austria,85854.0055161918,14076501.850271387,9047452,1.5558526146666916
2021-10-10,Austria,85401.0179484039,14161902.868219791,9047452,1.5652918488232699
2021-10-11,Austria,85500.84453536347,14247403.712755155,9047452,1.5747421166484392
2021-10-12,Austria,87337.85696757559,14334741.56972273,9047452,1.5843954264385962
2021-10-13,Austria,88324.68355453515,14423066.253277266,9047452,1.5941578085495525
2021-10-14,Austria,88223.19598674725,14511289.449264014,9047452,1.603908973406437
2021-10-15,Austria,87856.02257370682,14599145.471837722,9047452,1.6136195551894303
2021-10-16,Austria,87222.03500591894,14686367.506843641,9047452,1.62326006336852
2021-10-17,Austria,87087.3615928785,14773454.868436519,9047452,1.6328856863166026
2021-10-18,Austria,86868.8740250906,14860323.74246161,9047452,1.642487160192904
2021-10-19,Austria,89024.20061205018,14949347.94307366,9047452,1.6523268587745654
2021-10-20,Austria,89692.71304426229,15039040.656117922,9047452,1.6622404469366536
2021-10-21,Austria,89909.53963122185,15128950.195749143,9047452,1.6721780005850424
2021-10-22,Austria,89224.05206343395,15218174.247812577,9047452,1.6820397884191678
2021-10-23,Austria,88908.37865039353,15307082.62646297,9047452,1.6918666853897617
2021-10-24,Austria,88455.39108260564,15395538.017545575,9047452,1.7016435143889765
2021-10-25,Austria,88555.2176695652,15484093.23521514,9047452,1.7114313770567824
2021-10-26,Austria,90392.2301017773,15574485.465316918,9047452,1.721422281689576
2021-10-27,Austria,91379.05668873688,15665864.522005655,9047452,1.7315222586431689
2021-10-28,Austria,91277.56912094899,15757142.091126604,9047452,1.7416110183426896
2021-10-29,Austria,90910.39570790855,15848052.486834513,9047452,1.7516591949683196
2021-10-30,Austria,90276.40814012065,15938328.894974634,9047452,1.7616372979900456
2021-10-31,Austria,90141.73472708023,16028470.629701715,9047452,1.771600515780765
2021-11-01,Austria,89923.24715929234,16118393.876861008,9047452,1.781539584499703
2021-11-02,Austria,92078.5737462519,16210472.45060726,9047452,1.7917168779240011
2021-11-03,Austria,92747.08617846401,16303219.536785726,9047452,1.801968060928726
2021-11-04,Austria,92963.91276542358,16396183.449551148,9047452,1.8122432094197514
2021-11-05,Austria,92278.42519763569,16488461.874748783,9047452,1.8224425920965133
2021-11-06,Austria,91962.75178459525,16580424.626533378,9047452,1.8326070839097437
2021-11-07,Austria,91509.76421680737,16671934.390750185,9047452,1.842721507751595
2021-11-08,Austria,91609.59080376693,16763543.981553951,9047452,1.8528469652620374
2021-11-09,Austria,93446.60323597904,16856990.58478993,9047452,1.8631754647374676
2021-11-10,Austria,94433.4298229386,16951424.014612872,9047452,1.8736130365336972
2021-11-11,Austria,94331.94225515072,17045755.956868023,9047452,1.8840393910758546
2021-11-12,Austria,93964.76884211028,17139720.72571013,9047452,1.8944251625441209
2021-11-13,Austria,93330.78127432239,17233051.506984454,9047452,1.9047408604084834
2021-11-14,Austria,93196.10786128195,17326247.614845734,9047452,1.9150416730418391
2021-11-15,Austria,92977.62029349407,17419225.23513923,9047452,1.9253183366034137
2021-11-16,Austria,95132.94688045363,17514358.18201968,9047452,1.935833224870348
2021-11-17,Austria,95801.45931266574,17610159.641332347,9047452,1.9464220027177095
2021-11-18,Austria,96018.2858996253,17706177.92723197,9047452,1.9570347460513713
2021-11-19,Austria,95332.79833183742,17801510.72556381,9047452,1.96757172357077
2021-11-20,Austria,95017.12491879698,17896527.850482605,9047452,1.9780738102266369
2021-11-21,Austria,94564.13735100909,17991091.987833615,9047452,1.988525828911125
2021-11-22,Austria,94663.96393796866,18085755.951771583,9047452,1.9989888812642038
2021-11-23,Austria,96500.97637018077,18182256.928141765,9047452,2.009654975582271
2021-11-24,Austria,97487.80295714033,18279744.731098905,9047452,2.0204301422211364
2021-11-25,Austria,97386.31538935244,18377131.04648826,9047452,2.0311940916059306
2021-11-26,Austria,97019.141976312,18474150.18846457,9047452,2.0419174579168335
2021-11-27,Austria,96385.15440852412,18570535.342873096,9047452,2.0525707506238327
2021-11-28,Austria,96250.48099548368,18666785.82386858,9047452,2.0632091580998253
2021-11-29,Austria,96031.9934276958,18762817.817296278,9047452,2.0738234165040366
2021-11-30,Austria,98187.32001465536,18861005.137310933,9047452,2.0846758996136074
2021-12-01,Austria,98855.83244686747,18959860.9697578,9047452,2.0956022723036054
2021-12-02,Austria,99072.65903382703,19058933.628791627,9047452,2.1065526104799037
2021-12-03,Austria,98387.17146603914,19157320.800257664,9047452,2.1174271828419386
2021-12-04,Austria,98071.49805299871,19255392.298310664,9047452,2.1282668643404423
2021-12-05,Austria,97618.51048521082,19353010.808795873,9047452,2.139056477867567
2021-12-06,Austria,97718.33707217038,19450729.145868044,9047452,2.1498571250632823
2021-12-07,Austria,99555.3495043825,19550284.495372426,9047452,2.1608608142239856
2021-12-08,Austria,100542.17609134206,19650826.67146377,9047452,2.171973575705488
2021-12-09,Austria,100440.68852355417,19751267.359987322,9047452,2.1830751199329184
2021-12-10,Austria,100073.51511051373,19851340.875097837,9047452,2.194136081086458
2021-12-11,Austria,99439.52754272585,19950780.402640563,9047452,2.2051269686360935
2021-12-12,Austria,99304.85412968541,20050085.25677025,9047452,2.216102970954723
2021-12-13,Austria,99086.36656189752,20149171.623332147,9047452,2.2270548242015704
2021-12-14,Austria,101241.69314885708,20250413.316481005,9047452,2.2382449021537782
2021-12-15,Austria,101910.2055810692,20352323.522062074,9047452,2.2495088696864127
2021-12-16,Austria,102127.03216802876,20454450.5542301,9047452,2.2607968027053476
2021-12-17,Austria,101441.54460024087,20555892.098830342,9047452,2.272008969910019
2021-12-18,Austria,101125.87118720044,20657017.97001754,9047452,2.283186246251159
2021-12-19,Austria,100672.88361941255,20757690.853636954,9047452,2.2943134546209203
2021-12-20,Austria,100772.71020637211,20858463.563843325,9047452,2.305451696659272
2021-12-21,Austria,102609.72263858422,20961073.28648191,9047452,2.316792980662612
2021-12-22,Austria,103596.54922554379,21064669.835707452,9047452,2.3282433369867506
2021-12-23,Austria,103495.0616577559,21168164.89736521,9047452,2.339682476056818
2021-12-24,Austria,103127.88824471546,21271292.785609923,9047452,2.351081032052994
2021-12-25,Austria,102493.90067692757,21373786.68628685,9047452,2.362409514445266
2021-12-26,Austria,102359.22726388714,21476145.91355074,9047452,2.3737231116065316
2021-12-27,Austria,102140.73969609925,21578286.65324684,9047452,2.385012559696016
2021-12-28,Austria,104296.06628305881,21682582.719529897,9047452,2.3965402324908602
2021-12-29,Austria,104964.57871527092,21787547.29824517,9047452,2.4081417948661312
2021-12-30,Austria,105181.40530223049,21892728.7035474,9047452,2.4197673227277026
2021-12-31,Austria,104495.9177344426,21997224.621281844,9047452,2.431317084775011
2020-12-28,Denmark,2023.0,2023.0,5808454,0.000348285447384106
2020-12-29,Denmark,5420.0,7443.0,5808454,0.001281408099298023
2020-12-30,Denmark,7383.0,14826.0,5808454,0.002552486427541649
2020-12-31,Denmark,7056.0,21882.0,5808454,0.0037672675035388074
2021-01-01,Denmark,6105.0,27987.0,5808454,0.004818321708323764
2021-01-02,Denmark,6544.0,34531.0,5808454,0.00594495540465673
2021-01-03,Denmark,6449.0,40980.0,5808454,0.007055233630153566
2021-01-04,Denmark,6502.0,47482.0,5808454,0.008174636486748453
2021-01-05,Denmark,7149.0,54631.0,5808454,0.009405428707879929
2021-01-06,Denmark,8316.0,62947.0,5808454,0.010837134976019437
2021-01-07,Denmark,9916.0,72863.0,5808454,0.012544301805609549
2021-01-08,Denmark,10780.0,83643.0,5808454,0.014400217338382985
2021-01-09,Denmark,9802.0,93445.0,5808454,0.01608775760296974
2021-01-10,Denmark,9078.0,102523.0,5808454,0.0176506519635001
2021-01-11,Denmark,8830.0,111353.0,5808454,0.019170849937005612
2021-01-12,Denmark,6990.0,118343.0,5808454,0.020374268264842933
2021-01-13,Denmark,6014.0,124357.0,5808454,0.021409655650195387
2021-01-14,Denmark,6088.0,130445.0,5808454,0.022457783086514933
2021-01-15,Denmark,7052.0,137497.0,5808454,0.023671875511108463
2021-01-16,Denmark,7437.0,144934.0,5808454,0.024952250633301046
2021-01-17,Denmark,7777.0,152711.0,5808454,0.026291161124801884
2021-01-18,Denmark,8532.0,161243.0,5808454,0.027760054568737223
2021-01-19,Denmark,9114.0,170357.0,5808454,0.02932914679190022
2021-01-20,Denmark,7789.0,178146.0,5808454,0.030670123237611938
2021-01-21,Denmark,5797.0,183943.0,5808454,0.03166815128431765
2021-01-22,Denmark,4542.0,188485.0,5808454,0.03245011495313555
2021-01-23,Denmark,5013.0,193498.0,5808454,0.03331316732473047
2021-01-24,Denmark,5572.0,199070.0,5808454,0.03427245872998219
2021-01-25,Denmark,5118.0,204188.0,5808454,0.03515358820092231
2021-01-26,Denmark,4748.0,208936.0,5808454,0.035971017417026976
2021-01-27,Denmark,4919.0,213855.0,5808454,0.03681788648063667
2021-01-28,Denmark,5560.0,219415.0,5808454,0.03777511193167752
2021-01-29,Denmark,7426.0,226841.0,5808454,0.03905359326251013
2021-01-30,Denmark,8314.0,235155.0,5808454,0.040484955204947826
2021-01-31,Denmark,9223.0,244378.0,5808454,0.04207281317885964
2021-02-01,Denmark,10062.0,254440.0,5808454,0.043805115784682123
2021-02-02,Denmark,10506.0,264946.0,5808454,0.045613858696307144
2021-02-03,Denmark,10956.0,275902.0,5808454,0.04750007489084014
2021-02-04,Denmark,11525.0,287427.0,5808454,0.04948425174753902
2021-02-05,Denmark,10901.0,298328.0,5808454,0.051360998985272154
2021-02-06,Denmark,10000.0,308328.0,5808454,0.053082627494338425
2021-02-07,Denmark,8866.0,317194.0,5808454,0.054609023330476576
2021-02-08,Denmark,9001.0,326195.0,5808454,0.05615866115148713
2021-02-09,Denmark,9487.0,335682.0,5808454,0.05779197011803829
2021-02-10,Denmark,9412.0,345094.0,5808454,0.05941236687077146
2021-02-11,Denmark,8814.0,353908.0,5808454,0.06092981023866247
2021-02-12,Denmark,9479.0,363387.0,5808454,0.06256174190240639
2021-02-13,Denmark,9441.0,372828.0,5808454,0.06418713137781586
2021-02-14,Denmark,9629.0,382457.0,5808454,0.06584488746919576
2021-02-15,Denmark,10686.0,393143.0,5808454,0.06768461969398397
2021-02-16,Denmark,11562.0,404705.0,5808454,0.06967516657616639
2021-02-17,Denmark,12091.0,416796.0,5808454,0.07175678760647843
2021-02-18,Denmark,12611.0,429407.0,5808454,0.0739279333192619
2021-02-19,Denmark,11926.0,441333.0,5808454,0.07598114747917432
2021-02-20,Denmark,12435.0,453768.0,5808454,0.07812199253019822
2021-02-21,Denmark,13052.0,466820.0,5808454,0.08036906206023152
2021-02-22,Denmark,12715.0,479535.0,5808454,0.08255811270950927
2021-02-23,Denmark,12969.0,492504.0,5808454,0.08479089272291732
2021-02-24,Denmark,13651.0,506155.0,5808454,0.08714108780064368
2021-02-25,Denmark,14128.0,520283.0,5808454,0.08957340455825251
2021-02-26,Denmark,17290.0,537573.0,5808454,0.09255010025042808
2021-02-27,Denmark,16870.0,554443.0,5808454,0.09545448754522287
2021-02-28,Denmark,17050.0,571493.0,5808454,0.09838986415318086
2021-03-01,Denmark,17938.0,589431.0,5808454,0.10147812137274394
2021-03-02,Denmark,18175.0,607606.0,5808454,0.10460718118797188
2021-03-03,Denmark,17943.0,625549.0,5808454,0.10769629922178948
2021-03-04,Denmark,18533.0,644082.0,5808454,0.110886993337642
2021-03-05,Denmark,16439.0,660521.0,5808454,0.11371717844369604
2021-03-06,Denmark,17939.0,678460.0,5808454,0.11680560782611
2021-03-07,Denmark,18511.0,696971.0,5808454,0.11999251435924257
2021-03-08,Denmark,17836.0,714807.0,5808454,0.12306321096801318
2021-03-09,Denmark,17861.0,732668.0,5808454,0.12613821164805644
2021-03-10,Denmark,18625.0,751293.0,5808454,0.12934474474619237
2021-03-11,Denmark,17685.0,768978.0,5808454,0.13238944476447606
2021-03-12,Denmark,16500.0,785478.0,5808454,0.1352301318044354
2021-03-13,Denmark,15337.0,800815.0,5808454,0.13787059344879032
2021-03-14,Denmark,14515.0,815330.0,5808454,0.14036953722970003
2021-03-15,Denmark,14042.0,829372.0,5808454,0.14278704798213088
2021-03-16,Denmark,13780.0,843152.0,5808454,0.14515945206762418
2021-03-17,Denmark,13873.0,857025.0,5808454,0.1475478672982518
